mal_id,name,name_kanji,nicknames,about,image_url,favorites,series_type,series_mal_id
173759,Otori,大鳥,,Otori is a student of the Asahiyama High School and a friend of Nino Nakano.,https://cdn.myanimelist.net/images/characters/11/389458.jpg,1,anime,38101
173760,PE Teacher,体育教師,,This is a student guidance teacher at the senior high school Fuutarou Uesugi is attending.,https://cdn.myanimelist.net/images/characters/14/389459.jpg,1,anime,38101
166779,Raiha Uesugi,上杉 らいは,,"Fuutarou's little sister. She is the one who cooks for the family, and despite still being in elementary school, she's considered to be mature for her age. Raiha often use her cuteness to influence people.

(Source: 5Toubun no Hanayome Wiki)",https://cdn.myanimelist.net/images/characters/8/384122.jpg,175,anime,38101
166780,Isanari Uesugi,上杉 勇也,,"Isanari Uesugi is the father of Fuutarou Uesugi and Raiha Uesugi.

(Source: 5Toubun no Hanayome Wiki)",https://cdn.myanimelist.net/images/characters/6/378329.jpg,46,anime,38101
173762,Yamada,山田,,Yamada is a student of the Asahiyama High School and friend of Nino Nakano.,https://cdn.myanimelist.net/images/characters/9/389461.jpg,2,anime,38101
217523,Ebata,江端,,,https://cdn.myanimelist.net/images/characters/9/492104.jpg,1,anime,39783
191900,Revival's Manager,店長,,"The manager of the pastry shop Revival, where Fuutarou Uesugi and Nino Nakano currently work at. His shop rivals the bakery shop Komugiya.",https://cdn.myanimelist.net/images/characters/12/472104.jpg,3,anime,39783
204974,Shimoda,下田,,Is a former student of Rena Nakano that now works as a school lecturer.,https://cdn.myanimelist.net/images/characters/10/472089.jpg,1,anime,39783
214385,Takebayashi,竹林,,"Takebayashi is a childhood classmate of Fuutarou Uesugi. She was a class representative at the time of the Kyoto trip, along with Sanada.",https://cdn.myanimelist.net/images/characters/8/495850.jpg,2,anime,39783
169383,Yuusuke Takeda,武田 祐輔,,"Self-proclaimed rival of Fuutarou, determined to surpass him and proclaim the top rank in exams. However, he always falls behind him.",https://cdn.myanimelist.net/images/characters/9/579454.jpg,3,anime,39783
217526,Tsubaki,椿,,,https://cdn.myanimelist.net/images/characters/9/492107.jpg,1,anime,39783
185061,Rena Nakano,中野 零奈,,Rena Nakano is the mother of the quintuplets and the late wife of Maruo Nakano.,https://cdn.myanimelist.net/images/characters/9/495863.jpg,12,anime,48548
55843,Hime Haruno,春野 姫,Himecchi,"Age: 15-16
Height: 160 cm
Blood Type: A
Likes: Io Otonashi 
Hair Color: Brown
Eye Color: Brown

One of the characters from the series Acchi Kocchi. She tends to have constant nosebleeds when something cute happens between the main characters Tsumiki and Io. Sometimes even thinking of them or any kind of relationship in general causes her to have a nosebleed.",https://cdn.myanimelist.net/images/characters/11/161545.jpg,86,anime,12291
55847,Sakaki Inui,戌井 榊,,"Io's partner-in-crime. Together with Mayoi, he makes up the prankster duo in the friendship circle.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/characters/10/171001.jpg,28,anime,12291
55845,Mayoi Katase,片瀬 真宵,,"Along with Sakaki, she makes up the prankster duo in the friendship circle. Very savvy with electronics and almost never seen without her lab-coat. Loves to tease Tsumiki which often brought her severe repercussions from Tsumiki herself.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/characters/15/170999.jpg,152,anime,12291
55839,Tsumiki Miniwa,御庭 つみき,,"Age: 15-16
Birthday: January 11

The shortest heroine and the tsundere in her circle of friends, has a crush on Io. Every time when Io gives Tsumiki a pat on the head or sees something she likes, her hair changes shape into cat ears.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/characters/5/161551.jpg,1774,anime,12291
55841,Io Otonashi,音無 伊御,,"Age: 15-16
Height: 183 cm
Likes: Cats
Hair Color: Brown
Eye Color: Blue

Dense, yet kind at heart. He is oblivious to Tsumiki's crush on him.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/characters/9/161507.jpg,515,anime,12291
60503,Miiko Inui,戌井 みいこ,,"The shop manager of the cake shop Hach Poch (ハチポチ) and Sakaki's elder sister. She has waist-length light brown hair and is always smiling.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/characters/5/161563.jpg,17,anime,12291
60507,Kana Miyama,深山佳奈,,,https://cdn.myanimelist.net/images/characters/6/161567.jpg,4,anime,12291
60509,Kyouya Saibara,西原京谷,,,https://cdn.myanimelist.net/images/characters/2/161569.jpg,7,anime,12291
60505,Saki Sakimori,崎守咲,,"A student with waist-length blond hair, cat's ears, and green eyes.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/characters/11/161565.jpg,12,anime,12291
60511,Kikue Sakuragawa,桜川キクヱ,,"A clumsy teacher with shoulder-length greyish-light-blue hair and green eyes. She is single.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/characters/10/161571.jpg,8,anime,12291
150916,Reina Aharen,阿波連 玲奈,,"A girl who is not good at keeping a good distance with others. One day, Shouta Raidou, who was sitting next to her, picked up the eraser she dropped on the floor for her. It was the start of her interest in him.

Reina is a short teenage girl with long silver hair and deep blue eyes. She is seen most of the time to have a stoic expression even when laughing or crying. Despite that, she is capable of smiling and becoming cheerful, mostly when Raido is present. She is mostly seen in her school uniform that consists of dark blue button-up outfit over a white dress shirt, a dark navy skirt, long black tights, and brown penny loafers.

Reina is a quiet and timid girl with a bad sense of gauging interpersonal distance. She is shy when talking to people she just met, to the point where her voice becomes so soft it's almost inaudible. Inversely, she often becomes too excited when interacting with people which leads her to act overtly familiar to people she just met. This coupled with her generally expressionless face has led to her being ostracized in the past which made her scared to get close to others. Due to this, Reina is incredibly appreciative to those who accept her despite her strange behaviors such as her friends and family. She often feels obliged to repay their kindness to her with whatever means she has (e.g: making them food, teaching them, etc).

Due to her inability to gauge interpersonal distance, Reina is often self-conscious of the way she is viewed by her friends. She also fears being a burden to them due to her own perceived inability. Despite that, she is willing to step up when her friends need her and isn't afraid to show her appreciation to them. Reina values the friends she has made in high school greatly and has expressed her desire that she wishes for them to continue being friends long after their graduation.

(Source: Aharen-san wa Hakarenai Wiki)",https://cdn.myanimelist.net/images/characters/7/370529.jpg,676,anime,49520
150918, Raidou,来堂,,"A very ordinary high school boy. His aim is to have 100 friends in the high school. After entering the school, however, he feels a distance between him and Aharen, who is in the next seat to him.

Raidō is a tall boy with a stoic face. He has short black hair and brown eyes. He is most often seen wearing his school uniform consisting of a white shirt, black pants, black belt, and white sneakers. He usually retains the same facial expression even when internally feeling a lot of emotions such as happiness, sadness, shock, determination, etc.

Raidō is an outwardly calm and generally stoic teenager who looks after Reina. He is rather stiff when it comes to facial expressions which has led to him being distant from others in the past. This led to him having a motivation to have a fulfilling high school life with a goal to make 100 friends. Although outwardly stiff, Raidō is quite friendly with others especially after getting to know them. This is most apparent with his interactions with Reina. Whereas their interactions were initially filled with awkwardness and confusion, as their relationship progresses he begins to do more activities with Reina including but not limited to playing several sports together, studying, dancing, playing board games, etc. His friendliness would also help dissipate the initial tension with Mitsuki, Reina's childhood friend, who thought him as a scary person tricking Reina. Afterwards, he would also eventually earn other friends such as Ishikawa, Hanako, and Riku.

Despite his outward appearance, Raidō is internally both expressive and imaginative. This is most often seen when confronted with something he doesn't understand, such as Reina behaving weirdly. In these instances, Raidō's imagination runs wild and he begins to think up unlikely explanations for whatever he's facing. These delusions can range from somewhat unbelievable to utterly illogical. In some cases, he often adds to his delusion until his explanation of becomes more and more absurd. He also often acts based upon these delusions and it isn't until the real explanation is revealed that Raidō becomes aware and immediately dismisses his ridiculous theories. Raidō has expressed that he is aware of his tendencies to jump to unlikely conclusions and sees it as a problem, but has reasoned that he does so to be prepared for anything.

Raidō is also quite frank when it comes to expressing his emotions and is generally not afraid to do something when it feels like something he should do. For example, when Reina kept her distance from him after her being close to him for a full day during their first interaction, he made the first move instead and pushed his table to hers, an act which would be the start of their friendship. He is vocally bold when declaring that he has set his mind on something, although he is just as quick to let it go when his actions turn out to be based on his false delusions. Raidō is not shy when expressing his emotions and not afraid to stand by them, even for something as delicate as romance. When Mitsuki, under the assumption that he was leading Reina on, challenged him to a game of reversi, he was initially afraid until Mitsuki expressed her condition that he cut off contact with Reina should he lose. This gave him a boost of determination which prompted him to defeat Mitsuki from his losing position. After officially becoming Reina's boyfriend, he does not hesitate to compliment her appearance or express his affection towards her in general. He states them casually as a matter of fact, often to the embarrassment of Reina.



(Source: Aharen-san wa Hakarenai Wiki)",https://cdn.myanimelist.net/images/characters/10/342208.jpg,185,anime,49520
186395,Eru Aharen,阿波連 える,,Reina's little sister.,https://cdn.myanimelist.net/images/characters/5/474769.jpg,22,anime,49520
186392,Ren Aharen,阿波連 れん,,Reina's little brother.,https://cdn.myanimelist.net/images/characters/12/472884.jpg,29,anime,49520
206294,Atsushi,あつし,Akkun,,https://cdn.myanimelist.net/images/characters/16/597247.jpg,1,anime,49520
186390,Futaba,ふたば,,Atsushi's prideful childhood friend. She distrusts Aharen for stealing Atsushi's attention away from her but is generally a good girl.,https://cdn.myanimelist.net/images/characters/2/597246.jpg,4,anime,49520
184664,Ishikawa,石川,,"Ishikawa has light brown hair and black eyes. He wears a grey vest over a white dress shirt and black tie, black pants, and brown shoes.

Ishikawa is an extrovert and very athletic. He shows a lot of kindness and concern towards Raido and Reina's relationahip. He also gave up his spot in the group trip to Riku Tamanaha so that she wouldn't be left out.

It was suspected that he and Sato would be together, but as the show progressed he appeared to have strong feelings towards Raidou, though not sure what kind of feelings exactly considering they had no seemingly important interactions prior to the camping trip episode.

(Source: Aharen-san wa Hakarenai Wiki)",https://cdn.myanimelist.net/images/characters/3/462994.jpg,6,anime,49520
184667,Miyahira-sensei,宮平先生,,"A teacher in the school. She's a friend of Toubaru-sensei, and sometimes calls her Momo-chan.",https://cdn.myanimelist.net/images/characters/6/476738.jpg,4,anime,49520
184663,Mitsuki Ooshiro,大城 みつき,,"Mitsuki is a tall girl with burn orange hair and crimson eyes.

She wears a light orange sweater vest over a white dress shirt with red bow, a black skirt, white stockings, and brown penny loafers.

Mitsuki is a nervous and shy girl who always blushed easily and gets a confused expression in her face. She is quite of a mysterious in order to protect Reina from Raido in a distance.

(Source: Aharen-san wa Hakarenai Wiki)",https://cdn.myanimelist.net/images/characters/13/459768.jpg,19,anime,49520
206293,Younger Sister Raidou,ライドウ妹,,"She is a junior high school student. She's a childish girl who regards her big brother as ""sorta odd guy"", thus worrying her for if her big brother is able to make friends.

She has black short hair and brown eyes. She wears a white sailor uniform with navy blue skirt, white short socks, and black penny loafers.

(Source: Aharen-san wa Hakarenai Wiki)",https://cdn.myanimelist.net/images/characters/11/465090.jpg,7,anime,49520
209888,Raidou's Mother,ライドウ母,,,https://cdn.myanimelist.net/images/characters/16/476743.jpg,1,anime,49520
184665,Hanako Satou,佐藤 ハナコ,,"Hanako is of average height. She has short black hair and black eyes.

She wears a brown vest over a white dress shirt, red bow, a black skirt, knee length white socks, and brown penny loafers.

Hanako is a kind-hearted and sweet however she wants to keep herself as a ""ordinary"" girl.

She loves Ishikawa. Though Ishikawa seems to know it, he appears to have a secret affection for someone of their friends, but not her.

(Source: Aharen-san wa Hakarenai Wiki)",https://cdn.myanimelist.net/images/characters/6/462996.jpg,6,anime,49520
204012,Toubaru-sensei,桃原先生,,"Toubaru-sensei is the literature teacher at the school. She suffers from nose-bleeds and fainting whenever she witnesses Aharen-san and Raidou-kun together. She calls their behavior ""esteemed"".",https://cdn.myanimelist.net/images/characters/3/476739.jpg,37,anime,49520
209025,Ai Aharen,阿波連 あい,,,https://cdn.myanimelist.net/images/characters/15/594322.jpg,1,anime,59466
184666,Riku Tamanaha,玉那覇 りく,,"Tamanaha is a kogyaru and former, (and then later) classmate of Aharen. She first appears in chapter 71 of the manga.",https://cdn.myanimelist.net/images/characters/4/573186.jpg,20,anime,59466
187749,Yumiella Dolkness,ユミエラ・ドルクネス,,"The heroine of the otome game, in whose body an ordinary Japanese girl was reborn. The daughter of the Earl of Dolkness. A villainess wielding dark magic and a hidden final boss. Remembering her past life, Yumiella does not intend to confront the main character Alicia Ehnleit and create chaos in the game. She just wants to live a peaceful life away from the romantic hustle and bustle. As an avid gamer in the real world, Yumiella decided to use her gaming skills to raise her level in order to defeat the Demon Lord on her own if necessary.",https://cdn.myanimelist.net/images/characters/11/554375.jpg,541,anime,54837
187757,Adolf,アドロフ,Knight Captain,A general who works for the King.,https://cdn.myanimelist.net/images/characters/4/539693.jpg,1,anime,54837
224584,Patrick Ashbatten,パトリック・アッシュバトン,,"The son of a lord on the frontier, who is quite good at wind magic. He is one of the only students who didn't fear Yumiella. At first, he approached her after realizing her peculiar method of doing things is going to get herself or others killed. He soon develops feelings for her, but isn't able to get them across for the longest time. He does later become Level 99 like her, meeting her (fake) standard for a marriage partner.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/characters/11/521710.jpg,59,anime,54837
187756,Alicia Ehnleit,アリシア・エンライト,,"The heroine of the game. She is fearful of Yumiella, due to her light magic making her perceive the latter as a dark smoke with glowing eyes; however, she soon began to warm up to her. Alicia attempts to meet Yumiella halfway in order to befriend her, but at some points, the capture targets block her due to their distrustfulness of Yumiella, even hindering Alicia from leveling up, leaving her weak and unprepared to face the Demon Lord.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/characters/16/521711.jpg,5,anime,54837
234463,Eleanora Hillrose,エレノーラ・ヒルローズ,,"The daughter of Duke Hillrose, the leader of the radical nobles. She initially approached Yumiella to have her join her faction, but ends up revealing herself to be a lovestruck, naïve girl hopelessly in love with Prince Edwin. Her ""friends"" use Eleonora as a scapegoat to pick on Alicia, though she is unaware that their actions are making her look bad in Prince Edwin's eyes. Eleonora befriends Yumiella over their shared love of dragons and the fact that Yumiella isn't taking advantage of her, being able to be honest and open with her alone. Like Patrick, she does not fear Yumiella and may possibly have feelings for her.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/characters/11/521715.jpg,19,anime,54837
245784,Maou,魔王,,"Demon Lord. The game's final boss, whom Alicia will later fight in the future; however, Yumiella is ultimately the one to defeat him. He also uses dark magic and was once a human.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/characters/5/543515.jpg,3,anime,54837
187751,Rita,,,"A maid who works for Yumiella at her house. She doesn't hold much distance towards her mistress, but is annoyed with her hairbrained thinking.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/characters/14/540268.jpg,2,anime,54837
245459,Sara,サラ,,"Rita's younger sister, who is held hostage by Count Dolkness to force Rita to poison his daughter. Yumiella soon rescues her.

(Source: Wikipedia)",https://cdn.myanimelist.net/images/characters/5/543076.jpg,1,anime,54837
22370,Yuri Nakamura,仲村 ゆり,Yurippe,"Yuri's armament
Hand Grenade
Beretta 92 pistol
Retractable Knife.
TDI KRISS Super V Vector 
Cheytac M200
M4-A1 with Beta C-Mag and CQB-R

Yuri, the leader of the Shinda Sekai Sensen or SSS, the rebellious faction against the god who destined her to have an unreasonable life. She is determined to fight against the evil of the afterlife and is one of the strongest minded. She is one of the two main protagonist of the anime. She has a very strong personality and is the main rival of Angel.",https://cdn.myanimelist.net/images/characters/7/119951.jpg,3194,anime,6547
24502,Yuzuru Otonashi,音無結弦,,"Height: 176 cm

Otonashi lost his memory in an accident and thus thinks his life has no meaning. Things start to change for him as the story progresses. He is the main male protagonist of Angel Beats!


Over the course of the anime, he is the first of the SSS to try and understand Tenshi (Kanade).",https://cdn.myanimelist.net/images/characters/14/434995.jpg,2986,anime,6547
22369,Kanade Tachibana,立華 かなで / 天使,Tenshi|Angel,"Height: 150 cm
Favorite Food: Mapo Tofu

Tenshi has a variety of self-defense skills at her disposal, which she calls ""Guard Skills.""


Tenshi is the nickname the SSS gives her based on Yuri's belief that she must be a representative of god. Tenshi is one of the two main female characters of the anime. Her name means ""Angel,"" though she has stated she isn't one. The main plot of the anime revolves around her rivalry with Yuri, as Tenshi is believed to be the enemy of the Afterlife.

She never admits her name as ""Angel."" Instead, she calls herself the Student Council President of the school, who oversees the process of the afterlife.",https://cdn.myanimelist.net/images/characters/10/289337.jpg,14181,anime,6547
24519,Chaa,チャー,,"Char supplies the weapons that the SSS uses. Despite looking much older, he is about the same age as Otonashi and the others attending the afterlife school.



(Source: Wikipedia, Light Novel)",https://cdn.myanimelist.net/images/characters/8/95168.jpg,4,anime,6547
24508, Fujimaki,藤巻,,"Fujimaki is fight-holic and the ""bad-boy"" of the anime. He has a snobbish attitude and picking up fights is in his blood. He's almost always seen carrying a wooden scabbard which contains a katana sword. He can't swim.

He is the member of the main force with the least screen time and even says himself that people would probably forget about him if he were to have disappeared.",https://cdn.myanimelist.net/images/characters/14/85508.jpg,10,anime,6547
24503,Hideki Hinata,日向 秀樹,Hinacchi|Ikechin,"Hinata is a bright young guy and everyone likes him for his kindness. He is very popular to new students as he has a helping attitude towards his juniors and newcomers at school. He is comedy relief in some situations and a pervert in others. He will always try to save his comrades if he can and is a reliable force in the team.

He is the protagonist of the novel prequel ""Angel Beats-Track Zero.""",https://cdn.myanimelist.net/images/characters/7/87904.jpg,1248,anime,6547
24513,Hisako,ひさ子,,"She is the co-founder of the band with Iwasawa, and the band's guitarist. She is smart, energetic and loves to pick on Sekine. Mahjong is one of her other interests alongside music.",https://cdn.myanimelist.net/images/characters/2/98688.jpg,34,anime,6547
38508,Hitomi,ひとみ,,Yuri's classmate in her dream world during Episode 12.,https://cdn.myanimelist.net/images/characters/9/105844.jpg,3,anime,6547
33498, Igarashi,五十嵐,,He is a young man who was injured in the same train crash like Otonashi. Igarashi befriends Otonashi and the two work hard to save the people in the train wreck.,https://cdn.myanimelist.net/images/characters/9/93932.jpg,2,anime,6547
24516,Miyuki Irie,入江 みゆき,,Irie is fond of ghost stories but has the worst of it when it comes to anything about ghosts. She is cute and enjoys everything as much as she can. She plays drums in Iwasawa and Hisako's band. She enjoys her time the most when Sekine is around.,https://cdn.myanimelist.net/images/characters/7/95171.jpg,18,anime,6547
24512,Masami Iwasawa,岩沢 雅美,,"Always giving a cool look, she is a talented vocalist and plays guitar. She formed a band in the Afterlife called Girls Dead Monster with her best friend Hisako. She also writes songs and composes music for her band. It was only through conquering her insecurities that she gained her charisma and it was her passion that drove her to dedicate her life (and her afterlife) to sing meaningful, inspiring songs that would help people get through rough times as did she with Sad Machine's songs. 

The electric guitar that she is seen using is a Fender American Standard Stratocaster with the color of Sienna Sunburst.


Another Epilogue",https://cdn.myanimelist.net/images/characters/12/117224.jpg,1675,anime,6547
24510,Godan Matsushita,松下護騨,Matsushita 5th Dan,"Matsushita is a Judo expert. He has a well-built body and narrow eyed, which earned him the reputation of being the 'Kuma-san' or Mr. Bear. He is a level '5 dan' in Judo.",https://cdn.myanimelist.net/images/characters/9/95169.jpg,9,anime,6547
34379,Mysterious Boy,謎の青年,,A mysterious boy that appears in episode 12.,https://cdn.myanimelist.net/images/characters/15/93422.jpg,3,anime,6547
32458,Ayato Naoi,直井文人,,The Vice Student Council President.,https://cdn.myanimelist.net/images/characters/8/101119.jpg,650,anime,6547
24505, Noda,野田,,"Noda is a self-reliant boy who executes the strategies formed by the SSS and fights with a halberd. He does not listen to anyone other than Yuri, whom he has adoration for, and is antagonistic to almost everyone else. He has a rivalry between Otonashi and himself. He is a complete idiot whose weakness is education. He is not afraid to kill or harm anyone who gets in Yuri's way.",https://cdn.myanimelist.net/images/characters/10/85250.jpg,114,anime,6547
144213,Old Teacher,,,An elderly teacher who appears in episode 11.,https://cdn.myanimelist.net/images/characters/15/326909.jpg,1,anime,6547
24511, Ooyama,大山,,"Ooyama is an ordinary school boy and unlike others, does not possess any angel ability like fighting skills or special powers. He is scared of fighting and is the shota-type guy of the anime.",https://cdn.myanimelist.net/images/characters/3/85574.jpg,34,anime,6547
