mal_id,title,title_english,title_japanese,type,episodes,status,aired_from,aired_to,score,scored_by,rank,popularity,members,favorites,synopsis,image_url,genres,studios
37206,Anima Yell!,,アニマエール！,TV,12,Finished Airing,2018-10-07T00:00:00+00:00,2018-12-23T00:00:00+00:00,6.87,17745,5075,3609,45982,95,"Kohane Hatoya's most lovable trait is also her greatest flaw. She loves to help others no matter how far she has to go in order to get the job done. Her biggest inspiration to do so comes to light when she sees what cheerleading looks like for the first time in middle school. Now a highschooler but as enthusiastic as ever, Kohane wants nothing more than to start her very own cheerleading squad. She is encouraged by her best friend, Uki Sawatari, who often has to help her get out of trouble.

There is just one problem: Kohane does not have any experience in cheerleading. She has absolutely no idea what to do, what to wear, or how to perform. To make matters worse, she has been scared of heights since childhood, and this new sport is full of stunts pulled far from the ground for a girl her size. Enter Hizume Arima, a former cheerleader who wishes to leave her pastime behind. Unfortunately for her, Kohane recognizes Hizume, and will stop at nothing just so she can lead the new squad, even if it means facing her childhood fear.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1051/93862l.jpg,Comedy|Sports,Doga Kobo
31080,Anne Happy♪,Anne-Happy,あんハピ♪,TV,12,Finished Airing,2016-04-07T00:00:00+00:00,2016-06-23T00:00:00+00:00,6.94,35029,4756,2588,82812,267,"Tennomifune Academy is an elite institution for the best and the brightest, with the exception of Class 1-7, the so-called ""Happiness Class."" Each member of the classroom copes with personal misfortunes, and the special class is geared to help them move past their issues and find true happiness. 

After being accepted into the academy, An Hanakoizumi, Ruri Hibarigaoka, and Botan Kumegawa find themselves placed into the Happiness Class, plagued by dreadful luck, love problems, and bad health respectively. Alongside their classmates, they do their best to overcome the difficulties they are faced with in pursuit of a life filled with joy.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/9/78701l.jpg,Slice of Life,SILVER LINK.
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Anohana: The Flower We Saw That Day,あの日見た花の名前を僕達はまだ知らない。,TV,11,Finished Airing,2011-04-15T00:00:00+00:00,2011-06-24T00:00:00+00:00,8.29,1018225,305,72,1675237,32938,"Jinta Yadomi is peacefully living as a recluse, spending his days away from school and playing video games at home instead. One hot summer day, his childhood friend, Meiko ""Menma"" Honma, appears and pesters him to grant a forgotten wish. He pays her no mind, which annoys her, but he doesn't really care. After all, Menma already died years ago.

At first, Jinta thinks that he is merely hallucinating due to the summer heat, but he is later on convinced that what he sees truly is the ghost of Menma. Jinta and his group of childhood friends grew apart after her untimely death, but they are drawn together once more as they try to lay Menma's spirit to rest. Re-living their pain and guilt, will they be able to find the strength to help not only Menma move on—but themselves as well?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/5/79697l.jpg,Drama|Supernatural,A-1 Pictures
15039,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,Anohana: The Flower We Saw That Day The Movie,劇場版 あの日見た花の名前を僕達はまだ知らない。,Movie,1,Finished Airing,2013-08-31T00:00:00+00:00,,7.83,147676,1015,876,308423,633,"A year after their deceased friend Honma Meiko appeared to them, Jinta Yadomi and the other members of the Super Peace Busters decide to write letters in her memory. Attempting to enjoy their summer together, they reminisce about their time together before and after her death.

AnoHana. Movie retells the main events of the parent story in the perspective of each member of the Super Peace Busters.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/5/49993l.jpg,Drama|Supernatural,A-1 Pictures
40295,Another World,,アナザー・ワールド,ONA,3,Finished Airing,2019-09-13T00:00:00+00:00,2019-10-04T00:00:00+00:00,7.09,16949,4070,4017,37474,64,"On the surface, high school students Naomi Katagaki and Ruri Ichigyou seem to be polar opposites. In contrast to Naomi's shy and timid personality, Ruri strikes fear in her classmates due to being rather cold and outspoken. Nevertheless, both Naomi and Ruri nourish a strong passion for reading, which gradually draws the two closer.

As Naomi spends more time with Ruri, he discovers that she has a sweet side and is not as intimidating as everyone thinks. Subsequently, he develops genuine feelings for Ruri and decides to confess his love to her, which she happily reciprocates.

However, their wholehearted relationship is disrupted when Ruri gets struck by lightning, causing her to enter a coma. Wanting to see her smile again, Naomi resolves to return Ruri to her everyday life—no matter how great the lengths he must stride are.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1804/113788l.jpg,Sci-Fi,Graphinica
40930,Azur Lane: Bisoku Zenshin!,Azur Lane: Slow Ahead!,アズールレーン びそくぜんしんっ!,TV,12,Finished Airing,2021-01-12T00:00:00+00:00,2021-03-30T00:00:00+00:00,7,21486,4508,3247,55130,258,"In a seemingly peaceful time without looming threats of Sirens or war, shipgirls from different nations live together in harmony. Some girls, such as the destroyers Ayanami, Javelin, Laffey, and Z23, attend school. Others immerse themselves into various other activities, including sports, foraging, training, going to formal parties, or even vying for the commander's attention! But one thing is for certain: the girls will continue to deepen their friendship in the pleasant port of Azur Lane!

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1137/113872l.jpg,Comedy|Sci-Fi,Studio CANDY BOX
59161,Bad Girl,Bad Girl,ばっどがーる,TV,12,Currently Airing,2025-07-06T00:00:00+00:00,2025-09-21T00:00:00+00:00,6.77,2900,5612,4920,23838,53,"High school first year Yuu Yuutani has always been a good girl, following the rules, helping out around her house, and generally going through life unnoticed. From afar, she reveres her upperclassman and the school's Public Decency Officer, Atori Mizutori, and desperately wants her attention. When she realizes that the best way to get Atori to notice her is to be a delinquent, she begins to dress differently: she dyes parts of her hair a bright red, wears clips on her ears to resemble piercings, and attaches jumbo erasers to her shoes to give them thicker soles.

Despite Yuu's best efforts and even with the advice of her ""natural born delinquent"" friend Suzu Suzukaze, all of her plans to be a bad girl go awry. Still, Yuu manages to befriend Atori and pledges to spend as much time as possible together, not knowing there are others vying for Atori's attention. In the process, Yuu has also gained the attention of the school's self-proclaimed idol, Rura Ruriha, filling her once-invisible life with more attention than she may be able to handle.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1672/148848l.jpg,Comedy,Bridge
5081,Bakemonogatari,Bakemonogatari,化物語,TV,15,Finished Airing,2009-07-03T00:00:00+00:00,2010-06-25T00:00:00+00:00,8.32,758359,274,97,1461046,50492,"Koyomi Araragi, a third-year high school student, manages to survive a vampire attack with the help of Meme Oshino, a strange man residing in an abandoned building. Though being saved from vampirism and now a human again, several side effects such as superhuman healing abilities and enhanced vision still remain. Regardless, Araragi tries to live the life of a normal student, with the help of his friend and the class president, Tsubasa Hanekawa.

When fellow classmate Hitagi Senjougahara falls down the stairs and is caught by Araragi, the boy realizes that the girl is unnaturally weightless. Despite Senjougahara's protests, Araragi insists he help her, deciding to enlist the aid of Oshino, the very man who had once helped him with his own predicament.

Through several tales involving demons and gods, Bakemonogatari follows Araragi as he attempts to help those who suffer from supernatural maladies.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/11/75274l.jpg,Mystery|Romance|Supernatural,Shaft
47917,Bocchi the Rock!,Bocchi the Rock!,ぼっち・ざ・ろっく！,TV,12,Finished Airing,2022-10-09T00:00:00+00:00,2022-12-25T00:00:00+00:00,8.75,435050,46,307,721513,34163,"Yearning to make friends and perform live with a band, lonely and socially anxious Hitori ""Bocchi"" Gotou devotes her time to playing the guitar. On a fateful day, Bocchi meets the outgoing drummer Nijika Ijichi, who invites her to join Kessoku Band when their guitarist, Ikuyo Kita, flees before their first show. Soon after, Bocchi meets her final bandmate—the cool bassist Ryou Yamada. 

Although their first performance together is subpar, the girls feel empowered by their shared love for music, and they are soon rejoined by Kita. Finding happiness in performing, Bocchi and her bandmates put their hearts into improving as musicians while making the most of their fleeting high school days.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1448/127956l.jpg,Comedy,CloverWorks
38186,Bokutachi wa Benkyou ga Dekinai,We Never Learn: BOKUBEN,ぼくたちは勉強ができない,TV,13,Finished Airing,2019-04-07T00:00:00+00:00,2019-06-30T00:00:00+00:00,7.26,241443,3092,530,467864,1670,"Nariyuki Yuiga, an impoverished third-year high school student, works tirelessly to receive the VIP nomination, a scholarship that would cover all of his college tuition fees. In recognition of his hard work, the headmaster awards him the renowned scholarship.

However, this scholarship is given under one condition: he must tutor the school's geniuses in their weakest subjects! Joining his new brigade of pupils are the math maestro Rizu Ogata, who wants to study humanities; the literature legend Fumino Furuhashi, who wants to study science; and Yuiga's sports-savvy childhood friend, Uruka Takemoto, who is hopeless at everything else.

Bokutachi wa Benkyou ga Dekinai follows Yuiga as he tries to teach his three eccentric tutees in a series of strange and comedic antics. But as Ogata's and Furuhashi's ambitions conflict with their talents, will Yuiga be able to help his students achieve their dreams?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1602/100510l.jpg,Comedy|Romance,Silver|Arvo Animation
232,Cardcaptor Sakura,Cardcaptor Sakura,カードキャプターさくら,TV,70,Finished Airing,1998-04-07T00:00:00+00:00,2000-03-21T00:00:00+00:00,8.18,229676,429,526,474025,14375,"Ten-year-old Sakura Kinomoto is an ordinary fourth-grade student living in Tomoeda until, one day, she stumbles upon a mysterious book of cards titled ""The Clow."" Pondering over her discovery, she unintentionally causes a magical gust of wind to scatter the cards all over town.

The accident awakens the Beast of the Seal—Keroberos, nicknamed ""Kero""—who tells Sakura that she has released the mystical ""Clow Cards"" created by the sorcerer Clow Reed. Due to each Card's ability to act independently and their incredible power, Clow had sealed them away. Now that they have been set free, the Cards pose great danger to the world, and it is up to Sakura to put an end to them.

Appointing Sakura as the ""Cardcaptor"" and granting her the Sealed Key, Kero tasks her with finding and recapturing all the Clow Cards. Alongside her best friend Tomoyo Daidouji, and with Kero's guidance, Sakura must learn to balance her new secret duty with the everyday troubles as she takes flight on her magical adventures as Cardcaptor Sakura.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/8/60781l.jpg,Adventure|Comedy|Drama|Romance,Madhouse
28999,Charlotte,Charlotte,Charlotte（シャーロット）,TV,13,Finished Airing,2015-07-05T00:00:00+00:00,2015-09-27T00:00:00+00:00,7.75,1040220,1204,66,1714353,24531,"If not for his ability to take over people's mind and body, Yuu Otosaka would be an ordinary high school student. Though it only lasts for five seconds at a time, Yuu's mysterious power allowed him to cheat his way to the top of his class and  enter a prestigious high school, where he continues his dishonest acts.

His shenanigans are eventually stopped by Nao Tomori—the headstrong student council president from Hoshinoumi Academy—who sees through his deceit. Through coercion, Nao convinces Yuu to transfer to Hoshinoumi and join the student council. Hoshinoumi Academy is secretly an institution created for adolescents who possess supernatural abilities—with the student council serving as a means of locating those who abuse their powers.

With Yuu begrudgingly assisting in council affairs, the group sets out to find and protect new ability users from harm. However, as they further investigate the abilities, their findings entangle them in far more complicated matters than they could ever imagine.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1826/147276l.jpg,Drama,P.A. Works
31553,Charlotte: Tsuyoimono-tachi,Charlotte: The Strong Ones,Charlotte（シャーロット）特別篇 強い者たち,Special,1,Finished Airing,2016-03-30T00:00:00+00:00,,7.5,113069,2012,1309,202983,339,"Takehito Kumagami's clairvoyance leads his group of friends to another child with supernatural powers: Iori Sekiguchi, a mind reader. However, as they try to approach her, they realize her power makes her nearly impossible to pin down. Having been chosen by the club to handle this case, Nao Tomori and Yuu Otosaka must find a way to get around the child's unique ability before it is too late.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1709/98068l.jpg,Drama,P.A. Works
16157,Choujigen Game Neptune The Animation,Hyperdimension Neptunia,超次元ゲイム ネプテューヌ THE ANIMATION,TV,12,Finished Airing,2013-07-12T00:00:00+00:00,2013-09-27T00:00:00+00:00,6.89,63266,4978,1633,157273,1201,"After years of fruitless war between the four realms of Gamindustri (Planeptune, Lastation, Lowee and Leanbox) over Share energy, the source of their strength based on how much their people have faith in their goddesses, the four CPUs that rule over them have finally signed a friendship treaty. The treaty bans any attempt at claiming Share energy through military force, in hopes of bringing peace and prosperity to their worlds. Yet, a month after the treaty, Neptune, the CPU Goddess of Planeptune, spends her time goofing off and playing games rather than doing her job, leaving her land's Shares plummeting.

Choujigen Game Neptune The Animation follows Neptune and her friends' attempts at raising Shares, while dealing with an external threat that could spell the end of both the Goddesses and Gamindustri itself...",https://cdn.myanimelist.net/images/anime/6/52141l.jpg,Action|Comedy|Fantasy|Sci-Fi,David Production
14741,Chuunibyou demo Koi ga Shitai!,"Love, Chunibyo & Other Delusions!",中二病でも恋がしたい!,TV,12,Finished Airing,2012-10-04T00:00:00+00:00,2012-12-20T00:00:00+00:00,7.7,814203,1323,101,1427630,18601,"Everybody has had that stage in their life where they have thought themselves to be special, different from the masses of ordinary humans. They might go as far as seeing themselves capable of wielding mystical powers, or maybe even believe themselves to have descended from a fantasy realm. This ""disease"" is known as ""chuunibyou"" and is often the source of some of the most embarrassing moments of a person's life.

For Yuuta Togashi, the scars that his chuunibyou has left behind are still fresh. Having posed as the ""Dark Flame Master"" during his middle school years, he looks back at those times with extreme embarrassment, so much so that he decides to attend a high school far away where nobody will recognize him. Putting his dark history behind him, he longs to live a normal high school life.

Unfortunately, he hasn't escaped his past yet: enter Rikka Takanashi, Yuuta's new classmate and self-declared vessel of the ""Wicked Eye."" As this eccentric young girl crashes into Yuuta's life, his dream of an ordinary, chuunibyou-free life quickly crumbles away. In this hilarious and heartwarming story of a boy who just wants to leave his embarrassing memories behind, the delusions of old are far from a thing of the past.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1905/142840l.jpg,Comedy|Romance,Kyoto Animation
16934,Chuunibyou demo Koi ga Shitai! Kirameki no... Slapstick Noel,"Love, Chunibyo & Other Delusions!: Sparkling... Slapstick Noel",中二病でも恋がしたい! 煌めきの... 聖爆誕祭（スラップステック・ノエル）,Special,1,Finished Airing,2013-06-19T00:00:00+00:00,,7.49,140151,2048,1098,243542,198,"Although Yuuta Togashi and Rikka Takanashi have just started dating, they do not know how to progress their young relationship. Due to both of them being shy, neither of them are capable of making the first move. Rikka decides to ask her class representative Shinka Nibutani for some love advice, and she advises Rikka get closer to Yuuta during the Christmas season. Following the suggestion of Yuuta's friend, Makoto Isshiki, they hold a Christmas party at Sanae Dekomori’s place.

During the party, Yuuta notices Rikka has gone missing and searches for her. When he finds Rikka, he notices that she is acting strange and quickly figures out that she and Sanae are both drunk! How will this Christmas party turn out for the budding couple?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/7/45512l.jpg,Comedy|Romance,Kyoto Animation
15687,Chuunibyou demo Koi ga Shitai! Lite,"Love, Chunibyo & Other Delusions!: Chuni-Shorts",中二病でも恋がしたい！Lite,ONA,6,Finished Airing,2012-09-27T00:00:00+00:00,2012-10-31T00:00:00+00:00,7.26,80005,3094,1713,147862,178,Short episodes aired on KyoAni's official YouTube channel.,https://cdn.myanimelist.net/images/anime/5/42655l.jpg,Comedy,Kyoto Animation
35608,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,"Love, Chunibyo & Other Delusions!: Take On Me",映画 中二病でも恋がしたい！-Take On Me-,Movie,1,Finished Airing,2018-01-06T00:00:00+00:00,,8.1,157650,546,915,292487,1682,"Although already a third-year high school student, Rikka Takanashi remains a chuunibyou—a ""disease"" that causes people to fantasize about themselves and their surroundings. Her relationship with Yuuta Togashi has also gone unchanged for the past six months, and with entrance exams right around the corner, both of them strive to enroll at the same college. However, Tooka—Rikka's elder sister—decides to take Rikka to Italy as she has found a stable job there. This unforeseen turn of events causes a commotion between the couple as neither of them want to be separated from each other. Desperate for ideas, they seek assistance from their friends, and after a brief conversation, they come up with a plan—to elope.

Chuunibyou demo Koi ga Shitai! Movie: Take On Me is a sensational drama featuring the couple—Yuuta and Rikka—as they journey across Japan. The two attempt to prevent Rikka from being taken to Italy, but will they be able to succeed in doing so?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/2/89974l.jpg,Comedy|Drama|Romance,Kyoto Animation
18671,Chuunibyou demo Koi ga Shitai! Ren,"Love, Chunibyo & Other Delusions!: Heart Throb",中二病でも恋がしたい！戀,TV,12,Finished Airing,2014-01-09T00:00:00+00:00,2014-03-27T00:00:00+00:00,7.55,467237,1822,282,779790,2648,"The awkward lovebirds, Yuuta Togashi and Rikka Takanashi are now living together as they enter a new school year, but their adorable relationship remains stagnant. Yuuta struggles to adapt to having a chuuni girlfriend while the gang—Sanae Dekomori, Shinka Nibutani and Kumin Tsuyuri—are still keeping up with their quirks despite having advanced a grade. Making matters worse, another chuuni girl from Yuuta's middle school, Satone Shichimiya, appears...

With the various events revolving around Yuuta, will he be able to develop his relationship with Rikka?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/7/56643l.jpg,Comedy|Romance,Kyoto Animation
21797,Chuunibyou demo Koi ga Shitai! Ren Lite,"Love, Chunibyo & Other Delusions!: Heart Throb Lite Shorts",中二病でも恋がしたい！戀 Lite,ONA,6,Finished Airing,2013-12-26T00:00:00+00:00,2014-03-16T00:00:00+00:00,7.18,46280,3577,2400,93063,66,Short episodes aired on KyoAni's official YouTube channel.,https://cdn.myanimelist.net/images/anime/7/57457l.jpg,Comedy,Kyoto Animation
27601,Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,"Love, Chunibyo & Other Delusions!: Heart Throb - The Rikka Wars",中二病でも恋がしたい！戀 再生の･･･邪王真眼黙示録（The Rikka Wars）,Special,1,Finished Airing,2014-09-17T00:00:00+00:00,,7.45,75805,2219,1750,143904,124,"One normal school day, Rikka Takanashi notices Makoto Isshiki secretly passing a flash drive to Yuuta Togashi. Curious, Rikka talks to her friends about the case, who agree that Yuuta is hiding something from her. They decide to discover the contents of the flash drive by any means necessary, but to their surprise, it merely contained pictures of an idol that Yuuta adored back in middle school. However, Rikka takes offense, as she claims that this breaks their contract as lovers and demands Yuuta to return the flash drive.

Although having seen Yuuta return the flash drive, she still felt uncertain about the situation. This leads to her sneaking into Yuuta's room during the night, only to find out that the flash drive had not been returned! Scanning through its contents, she hurriedly rushes to bed when Yuuta enters her room. To her terror, she finds the flash drive crushed due to her negligence in keeping it in a safe place. Yuuta quickly finds out and demands an apology. However, Rikka too, demands an apology from him, resulting in both of them refusing to be the one to apologize first. Will the two lovebirds be able to resolve their argument?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/3/66827l.jpg,Comedy|Drama|Romance,Kyoto Animation
59898,City The Animation,,CITY THE ANIMATION,TV,13,Currently Airing,2025-07-07T00:00:00+00:00,2025-09-29T00:00:00+00:00,7.9,7084,860,3209,56271,223,"This town, is not just a normal town. There's laughter, love and emotional moments. An unpredictable ordinary life presented by the residents! Exciting stuffs come one after another. Welcome to CITY.

(Source: Prime Video)",https://cdn.myanimelist.net/images/anime/1981/149640l.jpg,Comedy,Kyoto Animation
